,videoname,Nimproved
0,3Epinephelus,3
1,3Epinephelus_2,2
2,3Epinephelus_3,3
3,4Epinephelus,4
4,4Epinephelus_2,4
5,4Epinephelus_3,3
6,4Epinephelus_4,3
7,4Epinephelus_5,1
8,4Epinephelus_6,3
9,5Epinephelus,3
10,6Epinephelus,3
11,6Epinephelus_2,8
12,C0005,1
13,C0007,2
14,C0088,0
15,C0089,0
16,C0093,0
17,C0096,0
18,C0097,0
19,GH010003,0
20,GH010003_2,0
21,GH010004,0
22,GH010005,0
23,GH010006,0
24,GH010008,0
25,GH010021,0
26,GH010026_1,0
27,GH010027_1,0
28,GH010028_1,0
29,GH010029_3,0
30,GH010032_1,0
31,GH010032_3,0
32,GH010035_5,1
33,GH010038_2,0
34,GH010039_2,0
35,GH010040_3,0
36,GH010043_2,0
37,GH010044_2,5
38,GH010049_1,0
39,GH010049_2,0
40,GH010064,0
41,GH010069,0
42,GH010072_6,0
43,GH010082,0
44,GH010084_1,0
45,GH010085_2,0
46,GH010088_2,0
47,GH010099_1,7
48,GH010101_2,0
49,GH010103_2,1
50,GH010104_2,0
51,GH010109_1,0
52,GH010112_2,0
53,GH010114_1,0
54,GH010116,0
55,GH010121_1,0
56,GH010125_6,0
57,GH010142,0
58,GH010143_1,0
59,GH010144,0
60,GH010144_1,0
61,GH010145,0
62,GH010148,0
63,GH010149,1
64,GH010152,0
65,GH010154_1,0
66,GH010156,0
67,GH010160,0
68,GH010161,1
69,GH010162,0
70,GH010164,0
71,GH010167_1,0
72,GH010169_2,0
73,GH010171,0
74,GH010175_1,0
75,GH010178_1,1
76,GH010183_1,0
77,GH010184,0
78,GH010185,0
79,GH010185_2,1
80,GH010192,0
81,GH010194_1,1
82,GH010197_1,0
83,GH010199_2,3
84,GH010200_1,0
85,GH010201_2,4
86,GH010202_1,2
87,GH010205_2,2
88,GH010206_2,0
89,GH010207,0
90,GH010208_1,0
91,GH010209_1,0
92,GH010210_1,1
93,GH010211_2,1
94,GH010214_2,1
95,GH010217_2,1
96,GH010218_2,0
97,GH010219_2,1
98,GH010220_2,0
99,GH010221_2,0
100,GH010239_1,0
101,GH010241,0
102,GH010245,0
103,GH010254,0
104,GH010255,1
105,GH010263,0
106,GH010265_1,0
107,GH010266,2
108,GH010267_1,2
109,GH010270_1,0
110,GH010271_1,0
111,GH010275_1,1
112,GH010275_2,0
113,GH010276_2,0
114,GH010279_1,0
115,GH010280,0
116,GH010281,0
117,GH010282,0
118,GH010282_1,0
119,GH010291,0
120,GH010311,0
121,GH010315,0
122,GH010324,0
123,GH010327,0
124,GH010336,1
125,GH010338,0
126,GH010358,0
127,GH010374,1
128,GH010388,1
129,GH020065,0
130,GH020103,0
131,GH020104_1,0
132,GH020121,0
133,GH020151,3
134,GOPR0064_2,0
135,GOPR0079_2,0
136,GOPR0084_2,1
137,GOPR0090_2,0
138,GOPR0091_2,0
139,GOPR0093_2,1
140,GOPR0197_2,0
141,GOPR0202_2,0
142,GOPR0205_2,0
143,GOPR0209_2,0
144,GOPR0210_2,0
145,GOPR0212_2,0
146,GOPR0441_2,0
147,GOPR0449_2,0
148,GOPR0457_2,0
149,GOPR0472_2,0
150,GOPR0479_2,1
151,GOPR0488_2,1
152,GOPR0490_2,0
153,GOPR0494_2,0
154,GOPR0496_2,0
155,GOPR0498_2,1
156,GOPR0504_2,0
157,GOPR0508_2,0
158,GOPR0773_2,0
159,GX010018,0
160,GX010437,0
161,GX010485,0
162,GX010488,0
163,GX010492,0
164,GX010520,0
165,GX010524,0
166,GX010528,0
167,GX010529,0
168,GX010541,0
169,GX010547_2,0
170,GX010551,0
171,GX010554,0
172,GX010556,0
173,GX030514,0
